Date,MWh
1/9/2013,16717.58
1/9/2013,16627.65
1/9/2013,16521.3
1/9/2013,16449.19
1/9/2013,16376.84
1/9/2013,16621.34
1/9/2013,17529.53
1/9/2013,18462.74
1/9/2013,18312.59
1/9/2013,17802.01
1/9/2013,17067.96
1/9/2013,15888.97
1/9/2013,14474.5
1/9/2013,13190.65
1/10/2013,12719.13
1/10/2013,12574.13
1/10/2013,12431.42
1/10/2013,12425.44
1/10/2013,12528.07
1/10/2013,13584.18
1/10/2013,14901.2
1/10/2013,16004.12
1/10/2013,16031.05
1/10/2013,15960.2
1/10/2013,15997.68
1/10/2013,15909.2
1/10/2013,15714.01
1/10/2013,15622.07
1/10/2013,15491.13
1/10/2013,15560.39
1/10/2013,16479.73
1/10/2013,17946.78
1/10/2013,18008.72
1/10/2013,17611.98
1/10/2013,16966.12
1/10/2013,15885.09
1/10/2013,14454.83
1/10/2013,13126.4
1/11/2013,12285.03
1/11/2013,11888.98
1/11/2013,11952.49
1/11/2013,11978.73
1/11/2013,12364.88
1/11/2013,13457.12
1/11/2013,15224.3
1/11/2013,16404.94
1/11/2013,16587.46
1/11/2013,16602.19
1/11/2013,16632.63
1/11/2013,16594.74
1/11/2013,16468.19
1/11/2013,16450.88
1/11/2013,16339.27
1/11/2013,16386.51
1/11/2013,17167.07
1/11/2013,17934.25
1/11/2013,17640.82
1/11/2013,17060.8
1/11/2013,16390.53
1/11/2013,15486.3
1/11/2013,14307.54
1/11/2013,13036.11
1/12/2013,12537.38
1/12/2013,12014.93
1/12/2013,11691.99
1/12/2013,11535.46
1/12/2013,11431.58
1/12/2013,11716.48
1/12/2013,12217.81
1/12/2013,13060.14
1/12/2013,14044.54
1/12/2013,14791.9
1/12/2013,15192.82
1/12/2013,15253.54
1/12/2013,15108.8
1/12/2013,14859.34
1/12/2013,14695.68
1/12/2013,14732.11
1/12/2013,15550.23
1/12/2013,16471.62
1/12/2013,16319.85
1/12/2013,15766.26
1/12/2013,15145.08
1/12/2013,14482.7
1/12/2013,13460.54
1/12/2013,12756.2
1/13/2013,12250.08
1/13/2013,11961.78
1/13/2013,11658.94
1/13/2013,11511.36
1/13/2013,11519.43
1/13/2013,11776.61
1/13/2013,12021.04
1/13/2013,12488.26
1/13/2013,12914.92
1/13/2013,13761.48
1/13/2013,14256.22
1/13/2013,14523.68
1/13/2013,14610.12
1/13/2013,14551.82
1/13/2013,14482.84
1/13/2013,14635.02
1/13/2013,15520.5
1/13/2013,16411.16
1/13/2013,16284.18
1/13/2013,15623.02
1/13/2013,15123.1
1/13/2013,14081.5
1/13/2013,12842.17
1/13/2013,12163.76
1/14/2013,11955.46
1/14/2013,11552.36
1/14/2013,11348.5
1/14/2013,11323.99
1/14/2013,11669.53
1/14/2013,12613.35
1/14/2013,13782.43
1/14/2013,15056.84
1/14/2013,15357.95
1/14/2013,15470.78
1/14/2013,15585.59
1/14/2013,15528.37
1/14/2013,15335.59
1/14/2013,15152.24
1/14/2013,14990.5
1/14/2013,15019.95
1/14/2013,15900.31
1/14/2013,17260.12
1/14/2013,17255.07
1/14/2013,16809.27
1/14/2013,16113.62
1/14/2013,15033.79
1/14/2013,14027.64
1/14/2013,13324.52
1/15/2013,12616.37
1/15/2013,12207.77
1/15/2013,12024.56
1/15/2013,11997.1
1/15/2013,12317.27
1/15/2013,13135.64
1/15/2013,14498.32
1/15/2013,15801.15
1/15/2013,15973.26
1/15/2013,16004.79
1/15/2013,16126.96
1/15/2013,16190.62
1/15/2013,16080.86
1/15/2013,16031.14
1/15/2013,15895.97
1/15/2013,15949.64
1/15/2013,16779.28
1/15/2013,18101.06
1/15/2013,18110.69
1/15/2013,17646.4
1/15/2013,16919.12
1/15/2013,15942.74
1/15/2013,14444.12
1/15/2013,13445.68
1/16/2013,12662.83
1/16/2013,12352.79
1/16/2013,12426.48
1/16/2013,12338.49
1/16/2013,12689.88
1/16/2013,13234.1
1/16/2013,14857.93
1/16/2013,16121.27
1/16/2013,16494.46
1/16/2013,16844.77
1/16/2013,17109.91
1/16/2013,17293.31
1/16/2013,17311.38
1/16/2013,17266.48
1/16/2013,17087.76
1/16/2013,17115.16
1/16/2013,17807.01
1/16/2013,18804.5
1/16/2013,18613.62
1/16/2013,18006.71
1/16/2013,17176.84
1/16/2013,15958.75
1/16/2013,14697.67
1/16/2013,13810.71
1/17/2013,13232.57
1/17/2013,12927.69
1/17/2013,12720.53
1/17/2013,12692.94
1/17/2013,13024.06
1/17/2013,13852.78
1/17/2013,15239.58
1/17/2013,16216.56
1/17/2013,16286.3
1/17/2013,16291.04
1/17/2013,16268.03
1/17/2013,16170.71
1/17/2013,16018.42
1/17/2013,15968.11
1/17/2013,15890.9
1/17/2013,16047.48
1/17/2013,16981.75
1/17/2013,18267.48
1/17/2013,18281.96
1/17/2013,17901.9
1/17/2013,17293.44
1/17/2013,16232.48
1/17/2013,15066.74
1/17/2013,14127.87
1/18/2013,13015.92
1/18/2013,12579.52
1/18/2013,12375.9
1/18/2013,12438.75
1/18/2013,12813.1
1/18/2013,13735.92
1/18/2013,15871.81
1/18/2013,17140.9
1/18/2013,17312.97
1/18/2013,17328.68
1/18/2013,17370.56
1/18/2013,17276.63
1/18/2013,17006.63
1/18/2013,17036.99
